"Qubit","T1 (us)","T2 (us)","Readout assignment error","Prob meas0 prep1","Prob meas1 prep0","Readout length (ns)","ID error","Single-qubit gate length (ns)","RX error","Z-axis rotation (rz) error","√x (sx) error","Pauli-X error","CZ error","Gate length (ns)","RZZ error","Operational"
"73","411.96264550113693","217.99457783210735","0.02685546875","0.0478515625","0.005859375","2280","0.0002905036180508844","32","0.0002905036180508844","0","0.0002905036180508844","0.0002905036180508844","72:0.0015712600230408658;74:0.0012112937833712034;79:0.001360325261427875","72:68;74:68;79:68","72:0.0022936129361344204;74:0.0017286066329293692;79:0.002765157081406844","Yes"
"74","251.4105635575628","135.28657017232723","0.0029296875","0.0029296875","0.0029296875","2280","0.00029456214300154876","32","0.00029456214300154876","0","0.00029456214300154876","0.00029456214300154876","73:0.0012112937833712034;75:0.0017488402659545932","73:68;75:68","73:0.0017286066329293692;75:0.0019343970566400304","Yes"
"75","153.39695228015867","53.83259359671194","0.0146484375","0.01708984375","0.01220703125","2280","0.0002375125608657097","32","0.0002375125608657097","0","0.0002375125608657097","0.0002375125608657097","59:0.0013753308080312332;74:0.0017488402659545932","59:68;74:68","59:0.0024234968895288367;74:0.0019343970566400304","Yes"
"76","167.15470921232443","41.02775142174599","0.28515625","0.2431640625","0.3271484375","2280","","32","","0","","","81:0.003016310889186302;61:0.0033513828776513543","81:68;61:68","81:0.002333009586954371;61:0.0057188937988717214","Yes"
"77","241.40703748058462","263.5764638877841","0.011962890625","0.02197265625","0.001953125","2280","0.0006853565870638302","32","0.0006853565870638302","0","0.0006853565870638302","0.0006853565870638302","85:0.004975203805646977;65:0.0033846936649902515","85:68;65:68","85:0.010083054373887401;65:0.004199110606768169","Yes"
"78","206.2362228239105","51.93690085153356","0.028564453125","0.04248046875","0.0146484375","2280","0.0002029771572165547","32","0.0002029771572165547","0","0.0002029771572165547","0.0002029771572165547","69:0.004128066120006685;89:0.001731706910208769","69:68;89:68","69:0.00885051963268435;89:0.0018103539050425","Yes"
"79","293.95593238779725","78.24436666616285","0.009521484375","0.01220703125","0.0068359375","2280","0.00035574809408132863","32","0.00035574809408132863","0","0.00035574809408132863","0.00035574809408132863","93:0.0017926441437353668;73:0.001360325261427875","93:68;73:68","93:0.0014155577863605717;73:0.002765157081406844","Yes"
"80","150.5671206676341","121.83904388044743","0.00390625","0.00732421875","0.00048828125","2280","0.00023450123189844126","32","0.00023450123189844126","0","0.00023450123189844126","0.00023450123189844126","81:0.002278948724635188","81:68","81:0.0034059212768258462","Yes"
"81","272.1997657553566","280.5113315048348","0.002685546875","0.00439453125","0.0009765625","2280","0.00023399301702257283","32","0.00023399301702257283","0","0.00023399301702257283","0.00023399301702257283","80:0.002278948724635188;82:0.0012167254715979847;76:0.003016310889186302","80:68;82:68;76:68","80:0.0034059212768258462;82:0.0023092296896124465;76:0.002333009586954371","Yes"
"82","335.1117546837123","414.0794719448508","0.004638671875","0.00732421875","0.001953125","2280","0.00019311682261538042","32","0.00019311682261538042","0","0.00019311682261538042","0.00019311682261538042","81:0.0012167254715979847;83:0.0014321043747797246","81:68;83:68","81:0.0023092296896124465;83:0.0015966970155973093","Yes"
"83","386.8289483990048","187.3074077925804","0.00927734375","0.015625","0.0029296875","2280","0.0002087255684317599","32","0.0002087255684317599","0","0.0002087255684317599","0.0002087255684317599","96:0.00174429214239058;82:0.0014321043747797246;84:0.0019235817268223876","96:68;82:68;84:68","96:0.0015243236618865674;82:0.0015966970155973093;84:0.0023056612415570943","Yes"
"84","274.21372788506284","75.85071289192847","0.01513671875","0.01806640625","0.01220703125","2280","0.00036170151422312694","32","0.00036170151422312694","0","0.00036170151422312694","0.00036170151422312694","83:0.0019235817268223876;85:0.0041290032417443945","83:68;85:68","83:0.0023056612415570943;85:0.00743149370301549","Yes"
"85","188.85335373678961","112.81955573189218","0.011474609375","0.0166015625","0.00634765625","2280","0.0009086625002728145","32","0.0009086625002728145","0","0.0009086625002728145","0.0009086625002728145","77:0.004975203805646977;86:0.016715169516271944;84:0.0041290032417443945","77:68;86:68;84:68","77:0.010083054373887401;84:0.00743149370301549","Yes"
"86","159.5676125835066","23.177530608501478","0.0048828125","0.00927734375","0.00048828125","2280","0.00036707820310407307","32","0.00036707820310407307","0","0.00036707820310407307","0.00036707820310407307","85:0.016715169516271944;87:0.0022238186664160497","85:68;87:68","87:0.0031224754329036153","Yes"
"87","146.6363561884354","98.77502151661028","0.007568359375","0.01513671875","0","2280","0.00026359388422813603","32","0.00026359388422813603","0","0.00026359388422813603","0.00026359388422813603","86:0.0022238186664160497;88:0.002761646375807031;97:0.0017483864355350986","86:68;88:68;97:68","86:0.0031224754329036153;88:0.004020902283078831;97:0.0028037746854748247","Yes"
"88","271.0716634105529","15.871918622776816","0.00537109375","0.00439453125","0.00634765625","2280","0.0002523451109974964","32","0.0002523451109974964","0","0.0002523451109974964","0.0002523451109974964","87:0.002761646375807031;89:0.002844274683570902","87:68;89:68","87:0.004020902283078831;89:0.003772971791690921","Yes"
"89","313.7192929976852","153.40162337927242","0.0068359375","0.0087890625","0.0048828125","2280","0.00022199227760454462","32","0.00022199227760454462","0","0.00022199227760454462","0.00022199227760454462","90:0.001306996008766409;88:0.002844274683570902;78:0.001731706910208769","90:68;88:68;78:68","90:0.0012849740792797437;88:0.003772971791690921;78:0.0018103539050425","Yes"
"90","180.179258533013","82.86825373777543","0.005615234375","0.0068359375","0.00439453125","2280","0.0002176942376757364","32","0.0002176942376757364","0","0.0002176942376757364","0.0002176942376757364","89:0.001306996008766409;91:0.002343535189380075","89:68;91:68","89:0.0012849740792797437;91:0.022968970732993116","Yes"
